study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB19856	SAMEA103892433	ERX1933710	ERR1873185	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/005/ERR1873185/ERR1873185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/005/ERR1873185/ERR1873185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873185/AV103.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873185/AV103.2.fq.gz	
PRJEB19856	SAMEA103892434	ERX1933711	ERR1873186	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/006/ERR1873186/ERR1873186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/006/ERR1873186/ERR1873186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873186/AV104.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873186/AV104.2.fq.gz	
PRJEB19856	SAMEA103892435	ERX1933712	ERR1873187	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/007/ERR1873187/ERR1873187.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873187/AV105.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873187/AV105.2.fq.gz	
PRJEB19856	SAMEA103892436	ERX1933713	ERR1873188	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/008/ERR1873188/ERR1873188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/008/ERR1873188/ERR1873188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873188/AV110.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873188/AV110.2.fq.gz	
PRJEB19856	SAMEA103892437	ERX1933714	ERR1873189	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/009/ERR1873189/ERR1873189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/009/ERR1873189/ERR1873189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873189/AV112.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873189/AV112.2.fq.gz	
PRJEB19856	SAMEA103892438	ERX1933715	ERR1873190	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/000/ERR1873190/ERR1873190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/000/ERR1873190/ERR1873190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873190/AV114.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873190/AV114.2.fq.gz	
PRJEB19856	SAMEA103892439	ERX1933716	ERR1873191	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/001/ERR1873191/ERR1873191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/001/ERR1873191/ERR1873191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873191/AV117.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873191/AV117.2.fq.gz	
PRJEB19856	SAMEA103892440	ERX1933717	ERR1873192	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/002/ERR1873192/ERR1873192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/002/ERR1873192/ERR1873192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873192/AV120.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873192/AV120.2.fq.gz	
PRJEB19856	SAMEA103892441	ERX1933718	ERR1873193	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/003/ERR1873193/ERR1873193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/003/ERR1873193/ERR1873193_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873193/AV125.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873193/AV125.2.fq.gz	
PRJEB19856	SAMEA103892442	ERX1933719	ERR1873194	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/004/ERR1873194/ERR1873194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/004/ERR1873194/ERR1873194_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873194/AV127.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR187/ERR1873194/AV127.2.fq.gz	
